metro_code,metro_name,metro_pop,metro_type,variable_name,applications,loans,denials,results_def,odds_ratio,odds_ratio_rd,number_denials_compared_to_10_white,white_loans,white_denials,white_apps
37340,"Palm Bay-Melbourne-Titusville, FL",585507,Metropolitan Statistical Area,Latino,419,368,51,Statistcially significant disparity,1.475262866,1.5,15,3606,306,3912
37340,"Palm Bay-Melbourne-Titusville, FL",585507,Metropolitan Statistical Area,Native American,17,14,3,Not statistcially significant,3.081044127,3.1,31,3606,306,3912
37340,"Palm Bay-Melbourne-Titusville, FL",585507,Metropolitan Statistical Area,AAPI,191,167,24,Not statistcially significant,1.576512837,1.6,16,3606,306,3912
28940,"Knoxville, TN",853337,Metropolitan Statistical Area,Black,163,143,20,Regression equation needs to be tweaked,1.721782768,1.7,17,6610,381,6991
28940,"Knoxville, TN",853337,Metropolitan Statistical Area,Latino,185,172,13,Regression equation needs to be tweaked,1.38746607,1.4,14,6610,381,6991
28940,"Knoxville, TN",853337,Metropolitan Statistical Area,Native American,17,17,0,Regression equation needs to be tweaked,5.75E-08,0,0,6610,381,6991
28940,"Knoxville, TN",853337,Metropolitan Statistical Area,AAPI,212,192,20,Regression equation needs to be tweaked,1.632675682,1.6,16,6610,381,6991
42940,"Sevierville, TN",97068,Micropolitan Statistical Area,Black,1,0,1,No meaningful results,,,,455,46,501
42940,"Sevierville, TN",97068,Micropolitan Statistical Area,Latino,12,5,7,No meaningful results,,,,455,46,501
42940,"Sevierville, TN",97068,Micropolitan Statistical Area,Native American,3,3,0,No meaningful results,,,,455,46,501
42940,"Sevierville, TN",97068,Micropolitan Statistical Area,AAPI,14,12,2,No meaningful results,,,,455,46,501
34100,"Morristown, TN",140912,Metropolitan Statistical Area,Black,4,4,0,No meaningful results,,,,572,49,621
34100,"Morristown, TN",140912,Metropolitan Statistical Area,Latino,29,25,4,No meaningful results,,,,572,49,621
34100,"Morristown, TN",140912,Metropolitan Statistical Area,Native American,3,2,1,No meaningful results,,,,572,49,621
34100,"Morristown, TN",140912,Metropolitan Statistical Area,AAPI,9,7,2,No meaningful results,,,,572,49,621
28700,"Kingsport-Bristol, TN-VA",306546,Metropolitan Statistical Area,Black,17,13,4,No meaningful results,,,,1609,116,1725
28700,"Kingsport-Bristol, TN-VA",306546,Metropolitan Statistical Area,Latino,26,22,4,No meaningful results,,,,1609,116,1725
28700,"Kingsport-Bristol, TN-VA",306546,Metropolitan Statistical Area,Native American,12,10,2,No meaningful results,,,,1609,116,1725
28700,"Kingsport-Bristol, TN-VA",306546,Metropolitan Statistical Area,AAPI,18,16,2,No meaningful results,,,,1609,116,1725
35460,"Newport, TN",35552,Micropolitan Statistical Area,Black,0,0,0,No meaningful results,,,,77,8,85
35460,"Newport, TN",35552,Micropolitan Statistical Area,Latino,0,0,0,No meaningful results,,,,77,8,85
35460,"Newport, TN",35552,Micropolitan Statistical Area,Native American,0,0,0,No meaningful results,,,,77,8,85
35460,"Newport, TN",35552,Micropolitan Statistical Area,AAPI,0,0,0,No meaningful results,,,,77,8,85
27740,"Johnson City, TN",202049,Metropolitan Statistical Area,Black,16,14,2,No meaningful results,,,,1146,81,1227
27740,"Johnson City, TN",202049,Metropolitan Statistical Area,Latino,27,25,2,No meaningful results,,,,1146,81,1227
27740,"Johnson City, TN",202049,Metropolitan Statistical Area,Native American,9,6,3,No meaningful results,,,,1146,81,1227
27740,"Johnson City, TN",202049,Metropolitan Statistical Area,AAPI,23,19,4,No meaningful results,,,,1146,81,1227
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903,Metropolitan Statistical Area,Black,998,883,115,Statistcially significant disparity,1.837484289,1.8,18,16637,850,17487
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903,Metropolitan Statistical Area,Latino,1080,985,95,Not statistcially significant,1.000660332,1,10,16637,850,17487
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903,Metropolitan Statistical Area,Native American,56,54,2,Not statistcially significant,0.522453782,0.5,5,16637,850,17487
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1871903,Metropolitan Statistical Area,AAPI,1023,924,99,Statistcially significant disparity,2.17364943,2.2,22,16637,850,17487
16860,"Chattanooga, TN-GA",556209,Metropolitan Statistical Area,Black,116,106,10,Regression equation needs to be tweaked,0.846612771,0.8,8,3735,200,3935
16860,"Chattanooga, TN-GA",556209,Metropolitan Statistical Area,Latino,150,136,14,Regression equation needs to be tweaked,1.072567,1.1,11,3735,200,3935
16860,"Chattanooga, TN-GA",556209,Metropolitan Statistical Area,Native American,11,10,1,Regression equation needs to be tweaked,2.522835959,2.5,25,3735,200,3935
16860,"Chattanooga, TN-GA",556209,Metropolitan Statistical Area,AAPI,139,130,9,Regression equation needs to be tweaked,1.553564902,1.6,16,3735,200,3935
18900,"Crossville, TN",59216,Micropolitan Statistical Area,Black,1,1,0,No meaningful results,,,,283,21,304
18900,"Crossville, TN",59216,Micropolitan Statistical Area,Latino,4,4,0,No meaningful results,,,,283,21,304
18900,"Crossville, TN",59216,Micropolitan Statistical Area,Native American,0,0,0,No meaningful results,,,,283,21,304
18900,"Crossville, TN",59216,Micropolitan Statistical Area,AAPI,4,3,1,No meaningful results,,,,283,21,304
